phylip_id,full_species_id,,,,,
101000002  ,>10100000,1004261,Bacillota,Bacillaceae,Oceanobacillus_indicireducens,Gram_positive
010010004  ,>01001000,985002,Bacillota,Staphylococcaceae,Staphylococcus_argenteus,Gram_positive
000000007  ,>00000000,112331,Bacillota,Planococcaceae,Planococcus_koreensis,Gram_positive
001001101  ,>00100110,1567108,Bacteroidota,Hymenobacteraceae,Rufibacter_roseus,Gram_negative
010000007  ,>01000000,29362,Bacillota,Oscillospiraceae,Ruminiclostridium_papyrosolvens,Gram_positive
011010003  ,>01101000,1541,Bacillota,Peptostreptococcaceae,Terrisporobacter_mayombei,Gram_positive
010010005  ,>01001000,61015,Bacillota,Staphylococcaceae,Staphylococcus_succinus,Gram_positive
001000006  ,>00100000,153151,Bacillota,Bacillaceae,Parageobacillus_toebii,Gram_positive
011010004  ,>01101000,2813371,Bacillota,Peptostreptococcaceae,Terrisporobacter_hibernicus,Gram_positive
001000007  ,>00100000,694055,Bacillota,Bacillaceae,Ornithinibacillus_contaminans,Gram_positive
001001102  ,>00100110,1379910,Bacteroidota,Hymenobacteraceae,Rufibacter_radiotolerans,Gram_negative
000111003  ,>00011100,2282420,Bacillota,Streptococcaceae,Streptococcus_hillyeri,Gram_positive
010010006  ,>01001000,319942,Bacillota,Staphylococcaceae,Staphylococcus_croceilyticus,Gram_positive
000011001  ,>00001100,426702,Bacillota,Carnobacteriaceae,Alkalibacterium_pelagium,Gram_positive
001001103  ,>00100110,388950,Bacteroidota,Hymenobacteraceae,Pontibacter_akesuensis,Gram_negative
001001104  ,>00100110,29530,Bacteroidota,Cytophagaceae,Cytophaga_aurantiaca,Gram_negative
011011101  ,>01101110,911197,Bacteroidota,Phaeocystidibacteraceae,Phaeocystidibacter_luteus,Gram_negative
001100005  ,>00110000,2026194,Bacillota,Bacillaceae,Bacillus_paramycoides,Gram_positive
001001105  ,>00100110,1610492,Bacteroidota,Hymenobacteraceae,Pontibacter_ummariensis,Gram_negative
001100006  ,>00110000,1930071,Bacillota,Sporomusaceae,Methylomusa_anaerophila,Gram_positive
001001106  ,>00100110,1720253,Bacteroidota,Hymenobacteraceae,Pontibacter_cellulosilyticus,Gram_negative
010010007  ,>01001000,293371,Bacillota,Lactobacillaceae,Paucilactobacillus_oligofermentans,Gram_positive
001011104  ,>00101110,387090,Bacteroidota,Bacteroidaceae,Phocaeicola_coprophilus,Gram_negative
001001107  ,>00100110,1179743,Bacteroidota,Hymenobacteraceae,Pontibacter_ramchanderi,Gram_negative
010010008  ,>01001000,1193095,Bacillota,Lactobacillaceae,Paucilactobacillus_hokkaidonensis,Gram_positive
001010003  ,>00101000,2133766,Bacteroidota,Flavobacteriaceae,Flavobacterium_cupreum,Gram_negative
011011102  ,>01101110,101383,Bacteroidota,Cryomorphaceae,Cryomorpha_ignava,Gram_negative
001010004  ,>00101000,516123,Bacillota,Thermohalobacteraceae,Sporosalibacterium_faouarense,Gram_positive
000110008  ,>00011000,1470356,Bacillota,Clostridiaceae,Clostridium_ihumii,Gram_positive
000011002  ,>00001100,180295,Bacillota,Carnobacteriaceae,Atopostipes_suicloacalis,Gram_positive
010000008  ,>01000000,2024205,Bacillota,Peptoniphilaceae,Urinicoccus_timonensis,Gram_positive
001001108  ,>00100110,2766980,Bacteroidota,Hymenobacteraceae,Pontibacter_aquaedesilientis,Gram_negative
